,ID,area_type,availability,location,size,society,total_sqft,bath,balcony,price,loc_lat,loc_long,dir_from_centre
111,111,Super built-up  Area,Ready To Move,Byatarayanapura,3 BHK,Reeroce,1413,2.0,2.0,75.0,13.0666526,77.591967,north
112,112,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sonviik,1116,2.0,1.0,51.91,12.9696365,77.7497448,east
113,113,Super built-up  Area,Ready To Move,Electronic City,3 BHK,DSgmax ,1530,2.0,1.0,45.9,12.848759900000001,77.64825295827616,south east
114,114,Built-up  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,,3700,4.0,1.0,225.0,13.0120218,77.6777817,north east
115,115,Built-up  Area,Ready To Move,Sarjapur  Road,3 Bedroom,Cetattu,2497,3.0,2.0,140.0,12.920441,77.6653284,south east
116,116,Super built-up  Area,Ready To Move,Kengeri,3 BHK,Vaens G,1540,2.0,3.0,64.0,12.9176571,77.4837568,south west
117,117,Super built-up  Area,18-Dec,Thanisandra,3 BHK,,1436,3.0,1.0,74.75,13.054713,77.6339258,north east
118,118,Super built-up  Area,18-Jun,Malleshwaram,2 BHK,,1100,2.0,2.0,75.0,13.0027353,77.5703253,north
119,119,Plot  Area,Ready To Move,Hennur Road,2 Bedroom,,276,3.0,3.0,23.0,13.0398416,77.6413592,north east
120,120,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Moity S,1427,3.0,2.0,120.0,13.054713,77.6339258,north east
121,121,Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,HiahsLa,2061,3.0,1.0,200.0,13.0195427,77.6831272,north east
122,122,Super built-up  Area,18-Mar,Hebbal,4 BHK,SNontle,3067 - 8156,4.0,0.0,477.0,13.0382184,77.5919,north
123,123,Built-up  Area,Ready To Move,Shampura,4 BHK,,2650,4.0,2.0,150.0,13.0272035,77.6140682,north east
124,124,Super built-up  Area,22-Dec,Devanahalli,3 BHK,Sabixtt,1282,2.0,2.0,68.52,13.2483502,77.7134377,north east
125,125,Built-up  Area,Ready To Move,Kadugodi,2 BHK,,1050,2.0,1.0,34.0,12.9985767,77.7609716,east
126,126,Built-up  Area,Ready To Move,LB Shastri Nagar,3 BHK,Sragei ,1600,3.0,2.0,65.0,27.193940000000055,77.45309000000003,north
127,127,Super built-up  Area,22-Jan,Vajarahalli,2 BHK,,945,2.0,1.0,54.0,13.1016741,77.406047,north west
128,128,Super built-up  Area,Ready To Move,Hormavu,2 BHK,SyidaCr,1500,2.0,1.0,78.0,13.0216149,77.6574918,north east
129,129,Plot  Area,Ready To Move,Vishwapriya Layout,7 Bedroom,,950,7.0,0.0,115.0,19.910470000000032,75.35541000000006,north
130,130,Built-up  Area,Ready To Move,Peenya,3 BHK,Jahts H,1870,3.0,3.0,110.0,13.0329419,77.5273253,north west
131,131,Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Inensba,1600,3.0,1.0,75.0,12.932266649999999,77.68374728308987,east
132,132,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,880,1.0,1.0,16.5,12.848759900000001,77.64825295827616,south east
133,133,Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,,1200,4.0,0.0,210.0,13.020470174192727,77.61598365299245,north east
134,134,Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,1535,3.0,2.0,83.0,12.8898043,77.6390627,south east
135,135,Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Wiowsri,950,2.0,1.0,57.0,12.88576665,77.55275290187642,south
136,136,Super built-up  Area,18-Aug,Devanahalli,2 BHK,Derdsig,1360,2.0,1.0,65.0,13.2483502,77.7134377,north east
137,137,Super built-up  Area,19-Mar,8th Phase JP Nagar,2 BHK,Vaarech,1042 - 1105,2.0,0.0,54.005,12.9167948,77.595038,south
138,138,Super built-up  Area,18-May,Bommasandra Industrial Area,3 BHK,,1280,3.0,1.0,50.4,12.81114,77.6634021,south east
139,139,Super built-up  Area,19-Jan,Chandra Layout,3 BHK,TiaksAa,1260,2.0,2.0,85.05,12.965293,77.5181551,west
140,140,Built-up  Area,Ready To Move,Hennur Road,8 Bedroom,,5000,8.0,,250.0,13.0398416,77.6413592,north east
141,141,Super built-up  Area,19-Dec,Yelahanka,5 BHK,LedorSa,3050,5.0,1.0,213.0,13.1006982,77.5963454,north
142,142,Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,HMwerCo,1563.05,3.0,1.0,105.0,12.9047595,77.6759172,south east
143,143,Super built-up  Area,Ready To Move,ISRO Layout,2 BHK,,1000,2.0,1.0,60.0,12.8974283,77.5573828,south
144,144,Super built-up  Area,17-Jul,Anandapura,2 BHK,ViensRK,1167,2.0,1.0,43.76,13.0239276,77.6923621,north east
145,145,Super built-up  Area,Ready To Move,Vishveshwarya Layout,7 BHK,,4000,7.0,2.0,225.0,12.957220000000063,77.47976000000006,west
146,146,Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1828,3.0,,110.0,13.0613601,77.6493895,north east
147,147,Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,HoiewLa,890,2.0,1.0,35.0,12.9229728,77.4842926,south west
148,148,Super built-up  Area,Ready To Move,Basavanapura,3 BHK,Dwity T,1612,3.0,3.0,46.74,13.2252819,77.576019,north
149,149,Plot  Area,Ready To Move,Dinnur,6 Bedroom,,1034,5.0,,185.0,13.0212785,77.6064833,north east
150,150,Super built-up  Area,19-Apr,Mysore Road,3 BHK,Brama P,1710,4.0,2.0,91.31,12.9467026,77.5300705,south west
151,151,Super built-up  Area,Ready To Move,Kannamangala,2 BHK,VBownre,957,2.0,1.0,58.0,13.2151923,77.6667197,north
152,152,Super built-up  Area,18-May, Devarachikkanahalli,3 BHK,,1250,2.0,3.0,44.0,12.8855932,77.6101723,south
153,153,Super built-up  Area,Ready To Move,Sanjeevini Nagar,3 BHK,Betatsi,2795,4.0,,235.0,13.0577532,77.588968,north
154,154,Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Prcan P,1125,2.0,2.0,50.0,12.8773486,77.6028031,south
155,155,Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,Sryalan,1020,2.0,1.0,30.6,12.8468545,77.6769267,south east
156,156,Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,,1200,2.0,2.0,50.0,12.8661075,77.59192,south
157,157,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1735,3.0,3.0,135.0,13.054713,77.6339258,north east
158,158,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,G conTh,2050,3.0,1.0,145.0,13.054713,77.6339258,north east
159,159,Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,,3750,4.0,0.0,760.0,13.0113153,77.5446972,north west
160,160,Built-up  Area,Ready To Move,Yarandahalli,3 BHK,,1350,2.0,3.0,48.0,12.8087698,77.6673579,south east
161,161,Super built-up  Area,18-May,Hosa Road,2 BHK,SStusan,1063,2.0,1.0,32.0,12.8706073,77.6540565,south east
162,162,Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,ETens G,1904,3.0,1.0,150.0,17.43101000000007,78.51953000000003,north
163,163,Built-up  Area,Ready To Move,Whitefield,4 Bedroom,,4200,4.0,2.0,420.0,12.9696365,77.7497448,east
164,164,Super built-up  Area,Ready To Move,RMV Extension,3 BHK,Hohnari,2000,3.0,1.0,175.0,13.03565265,77.57479784652307,north
165,165,Super built-up  Area,18-Dec,Sarjapur,2 BHK,Kinuerg,1145 - 1340,2.0,0.0,43.49,12.932266649999999,77.68374728308987,east
166,166,Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,Naods W,1425,2.0,2.0,75.0,12.8601508,77.6051147,south
167,167,Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1500,2.0,1.0,64.5,12.848759900000001,77.64825295827616,south east
168,168,Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1060,2.0,1.0,60.0,12.848759900000001,77.64825295827616,south east
169,169,Built-up  Area,Ready To Move,Jai Bheema Nagar,3 BHK,Sancyra,1470,2.0,2.0,70.0,16.849590000000035,75.69628000000006,north west
170,170,Super built-up  Area,Ready To Move,Kothnur Narayanapura,6 BHK,,1300,6.0,0.0,99.0,13.064290021110466,77.64213983309025,north east
171,171,Super built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,450,1.0,1.0,11.0,12.7782588,77.7712834,south east
172,172,Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1152,2.0,1.0,64.5,12.848759900000001,77.64825295827616,south east
173,173,Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1350,2.0,1.0,56.0,12.848759900000001,77.64825295827616,south east
174,174,Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,Srshq T,1550,3.0,3.0,65.0,12.9856596,77.6638971,east
175,175,Plot  Area,Ready To Move,CHIKKATIRUPATHI,3 Bedroom,,1500,3.0,2.0,100.0,12.894690000000026,77.86844000000008,east
176,176,Plot  Area,Ready To Move,Kumaraswami Layout,5 Bedroom,,600,3.0,2.0,85.0,12.898190000000056,77.55927000000008,south
177,177,Plot  Area,Ready To Move,Nagavara,1 Bedroom,,400,1.0,0.0,14.0,13.0374647,77.623602,north east
178,178,Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,Utntspa,705,1.0,2.0,67.0,13.0027353,77.5703253,north
179,179,Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,770,1.0,1.0,36.0,12.848759900000001,77.64825295827616,south east
180,180,Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Aniona ,1242,2.0,3.0,51.0,12.8773486,77.6028031,south
181,181,Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,Goateds,1700,3.0,2.0,155.0,13.0521017,77.6018107,north
182,182,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,2144,3.0,2.0,145.0,13.054713,77.6339258,north east
183,183,Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saahaat,1704,3.0,2.0,110.0,12.9718886,77.54578883887129,west
184,184,Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070,2.0,1.0,52.0,12.848759900000001,77.64825295827616,south east
185,185,Plot  Area,Ready To Move,8th block Koramangala,3 Bedroom,,1846,3.0,2.0,300.0,12.9287596,77.6287122,south east
186,186,Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,,1340,2.0,2.0,55.7,13.09831985,77.62514557763072,north
187,187,Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1025,2.0,1.0,46.0,12.848759900000001,77.64825295827616,south east
188,188,Super built-up  Area,Ready To Move,KR Puram,2 BHK,MCvarar,1015 - 1540,2.0,0.0,56.8,13.007516,77.695935,east
189,189,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,VRave E,1200,2.0,2.0,52.0,12.9552572,77.6984163,east
190,190,Built-up  Area,18-Dec,Kanakpura Road,4 Bedroom,,2250,4.0,1.0,110.0,12.88576665,77.55275290187642,south
191,191,Super built-up  Area,Ready To Move,Pattandur Agrahara,3 BHK,MaidoPl,1550,2.0,3.0,80.0,12.9876589,77.7377128,east
192,192,Plot  Area,Ready To Move,Bellandur,4 Bedroom,,1200,5.0,,325.0,12.9279555,77.6807658,south east
193,193,Plot  Area,Ready To Move,Ejipura,7 Bedroom,,1800,7.0,1.0,250.0,12.945245,77.6269144,south east
194,194,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Aiitya ,1200,2.0,2.0,60.0,12.9552572,77.6984163,east
195,195,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,PuziaVe,1327,2.0,2.0,98.0,13.1006982,77.5963454,north
196,196,Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1186,2.0,2.0,58.0,13.0613601,77.6493895,north east
197,197,Built-up  Area,Ready To Move,MS Pallya,3 Bedroom,,1783,3.0,1.0,115.0,13.089650000000063,77.54331000000008,north
198,198,Super built-up  Area,Ready To Move,HSR Layout,3 BHK,NRosete,1400,3.0,2.0,56.0,12.9116225,77.6388622,south east
199,199,Super built-up  Area,Ready To Move,Nagasandra,2 BHK,,980,2.0,1.0,48.0,13.0479497,77.5001349,north west
200,200,Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,,1285,2.0,2.0,82.0,12.9781922,77.7246451,east
201,201,Super built-up  Area,Ready To Move,Langford Town,3 BHK,,912,2.0,1.0,70.0,12.957998,77.6037312,south east
202,202,Built-up  Area,Ready To Move,Whitefield,2 BHK,Sancya ,1225,2.0,2.0,47.6,12.9696365,77.7497448,east
203,203,Super built-up  Area,Ready To Move,Whitefield,2 BHK,,1075,2.0,1.0,53.0,12.9696365,77.7497448,east
